"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1205778701117323034","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
="1219312158515764193","【狂欢价】THE LAUNDRESS细致衣物洗衣精475ml贴身衣物丝质洗衣液洗涤剂","190.00","1","LAL-005","null","null","null","交易成功","LAL-005"
="1205771716290233026","【双11种草福袋】THE LAUNDRESS深色白色洗衣液喷雾体验组合装","140.00","1","LA20200918004","净含量：白色洗衣液60ml+羊毛15ml+经典15ml","null","null","交易成功","LA20200918004"
="1335888108102918270","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1216480059266335318","【狂欢价】THE LAUNDRESS衣物去渍清洁液475ml清洁污渍酵素浓缩洗衣液","190.00","1","LAS-020","null","null","null","卖家已发货，等待买家确认","LAS-020"
="1219598683795590989","【狂欢价】THE LAUNDRESS经典洗衣精1L棉麻衣物洗护植物酵素内衣洗衣液","210.00","1","LAS-001","null","null","null","卖家已发货，等待买家确认","LAS-001"
="1205392926890844540","THE LAUNDRESS羊毛羊绒专用洁净液60ml羊毛洗护洗衣液洗涤剂","90.00","1","LASMC-006","净含量：羊毛60ml","null","null","卖家已发货，等待买家确认","LASMC-006"
="1205670379749620949","【双11种草福袋】THE LAUNDRESS深色白色洗衣液抗静电喷雾体验装","90.00","1","LASMS-003","净含量：深色洗衣液60ml","null","null","卖家已发货，等待买家确认","LASMS-003"
="1205670379749620949","【狂欢价】THE LAUNDRESS羊毛羊绒专用洁净液475ml羊毛洗护洗衣液","190.00","1","LAC-006","null","null","null","卖家已发货，等待买家确认","LAC-006"
="1205718941098510140","【狂欢价】THE LAUNDRESS衣物香氛喷雾-婴儿香氛125ml衣物香水","100.00","1","LAB-012","null","null","null","卖家已发货，等待买家确认","LAB-012"
